# 浙江电信 IP速度测试结果 - 有效IP 12/12
# 测试时间: 2026-01-02 12:54:15
# IP:端口 速度 连接时间(ms)
123.155.17.197:8888 82.2KB/s (ping:250ms)
36.20.107.16:8888 78.3KB/s (ping:274ms)
125.105.136.38:4000 78.2KB/s (ping:1306ms)
125.122.193.233:4000 77.3KB/s (ping:9999ms)
218.74.166.155:8088 74.3KB/s (ping:248ms)
60.189.253.33:8088 73.7KB/s (ping:267ms)
122.230.225.121:8881 73.2KB/s (ping:262ms)
115.230.39.6:4022 72.2KB/s (ping:2371ms)
122.234.155.78:55555 71.8KB/s (ping:258ms)
183.132.70.120:50000 68.3KB/s (ping:275ms)
122.242.241.205:8001 48.6KB/s (ping:260ms)
122.242.241.247:8001 43.8KB/s (ping:1318ms)
